Date,Low,High,Open,Close,Volume,5 SMA,6 SMA,7 SMA,8 SMA,9 SMA,10 SMA,11 SMA,12 SMA,13 SMA,14 SMA,15 SMA,16 SMA,17 SMA,18 SMA,19 SMA,20 SMA,21 SMA,22 SMA,23 SMA,24 SMA,25 SMA,26 SMA,27 SMA,28 SMA,29 SMA,30 SMA,31 SMA,32 SMA,33 SMA,34 SMA,35 SMA,36 SMA,37 SMA,38 SMA,39 SMA,40 SMA,41 SMA,42 SMA,43 SMA,44 SMA,45 SMA,46 SMA,47 SMA,48 SMA,49 SMA,50 SMA
2020-01-01,128.12,132.68,128.54,130.19,57512.49501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-02,125.83,130.18,130.14,126.81,49211.56902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-03,125.52,134.93,126.81,134.17,88651.89285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-04,132.5,135.75,134.17,134.14,31254.84712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-05,134.14,138.97,134.14,135.31,45353.69311,132.124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-06,134.78,144.51,135.31,144.19,91523.60993,134.924,134.135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-07,138.79,145.25,144.2,143.08,96525.42254,138.178,136.2833333,135.4128571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-08,137.03,148,143.08,140.6,101682.0929,139.464,138.5816667,136.9,136.06125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-09,135.12,141.38,140.64,137.71,61184.99934,140.178,139.1716667,138.4571429,137.00125,136.2444444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-10,135.26,145.81,137.72,144.72,137620.9982,142.06,140.935,139.9642857,139.24,137.8588889,137.092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-11,142,148,144.89,142.63,52850.50877,141.748,142.155,141.1771429,140.2975,139.6166667,138.336,137.5954545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-12,141.83,146.6,142.51,146.6,35450.66532,142.452,142.5566667,142.79,141.855,140.9977778,140.315,139.0872727,138.3458333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-13,142.1,147,146.55,143.51,44072.65864,143.034,142.6283333,142.6928571,142.88,142.0388889,141.249,140.6054545,139.4558333,138.7430769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-14,143.45,170.83,143.5,165.76,258408.6159,148.644,146.8216667,145.9328571,145.57625,145.4222222,144.411,143.4772727,142.7016667,141.4792308,140.6728571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-15,159.13,172.18,165.74,166.29,165292.6861,152.958,151.585,149.6028571,148.4775,147.8777778,147.509,146.4,145.3783333,144.5161538,143.2514286,142.3806667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-16,158.17,167.28,166.27,163.93,88188.75031,157.218,154.7866667,153.3485714,151.39375,150.1944444,149.483,149.0018182,147.8608333,146.8053846,145.9028571,144.63,143.7275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-17,162.01,174.52,164,169.59,134919.6665,161.816,159.28,156.9014286,155.37875,153.4155556,152.134,151.3109091,150.7175,149.5323077,148.4328571,147.482,146.19,145.2488235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-18,164.92,179.32,169.54,174.06,113052.3229,167.926,163.8566667,161.3914286,159.04625,157.4544444,155.48,154.1272727,153.2066667,152.5130769,151.2842857,150.1413333,149.143125,147.8294118,146.8494444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-19,161.7,178,174.05,166.75,113433.6896,168.124,167.73,164.27,162.06125,159.9022222,158.384,156.5045455,155.1791667,154.2484615,153.53,152.3153333,151.179375,150.1788235,148.8805556,147.8968421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-20,161.1,169.3,166.67,166.68,66340.77435,168.202,167.8833333,167.58,164.57125,162.5744444,160.58,159.1381818,157.3525,156.0638462,155.1364286,154.4066667,153.213125,152.0911765,151.0955556,149.8173684,148.836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-21,164.28,170,166.66,169.19,61518.49556,169.254,168.3666667,168.07,167.78125,165.0844444,163.236,161.3627273,159.9758333,158.2630769,157.0014286,156.0733333,155.330625,154.1529412,153.0411111,152.0478947,150.786,149.8052381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
